Genome,ID,Start,Stop,Size (nt),Strand,Function
Acaryochloris marina (strain MBIC 11017),B0CEQ2,1063751,1063871,118,-,SSB; InterPro=IPR012340; IPR011344; IPR000424
Acaryochloris marina (strain MBIC 11017),B0CEQ3,1063889,1064276,385,-,AI; 2E_transport; InterPro=IPR002549
Acaryochloris marina (strain MBIC 11017),B0CEQ4,1064297,1064591,292,-,tRNA; synt_2e; InterPro=IPR045864; IPR002310; IPR006194
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW3,1059561,1059727,164,+,DUF4330; InterPro=IPR025480
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW4,1059729,1060262,531,+,Wzy_C; InterPro=IPR007016; IPR051533
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW5,1060300,1060511,209,+,none
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW6,1060525,1061041,514,+,Carb_kinase; YjeF_N; InterPro=IPR029056; IPR036652; IPR000631; IPR004443; IPR030677
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW7,1061061,1061452,390,+,Ala_racemase_C; Ala_racemase_N; InterPro=IPR009006; IPR029066; IPR000821; IPR011079; IPR001608
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW8,1061623,1061682,57,+,RHH_1; InterPro=IPR013321; IPR002145; IPR010985
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIW9,1061715,1061832,115,+,PemK_toxin; InterPro=IPR011067; IPR003477
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX0,1061839,1062005,164,+,none
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX1,1062093,1062343,248,-,Glyco_tran_WecG; InterPro=IPR034714; IPR004629
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX2,1062353,1063099,744,-,Glycos_transf_1; PS_pyruv_trans; Glyco_transf_4; InterPro=IPR001296; IPR007345; IPR028098; IPR019896
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX3,1063207,1063509,300,+,YitT_membrane; DUF2179; InterPro=IPR015867; IPR003740; IPR019264; IPR051461
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX4,1063548,1063829,280,+,Transketolase_N; InterPro=IPR005474; IPR029061
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX5,1063830,1064142,310,+,Transket_pyr; Transketolase_C; InterPro=IPR009014; IPR005475; IPR033248; IPR051157; IPR029061
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX6,1064265,1064635,368,+,ABC_tran; InterPro=IPR027417; IPR003439; IPR003593
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX7,1064635,1064876,239,+,ABC2_membrane_2; InterPro=IPR032688; IPR051449
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX8,1064878,1065352,472,+,ABC_transp_aux; InterPro=IPR019196
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIX9,1065351,1065843,491,+,DUF4340; InterPro=IPR025641
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY0,1065869,1066239,368,+,none; InterPro=IPR038728
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY1,1066266,1066660,392,+,DUF5711; InterPro=IPR043765; IPR011047
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY2,1066666,1066905,238,+,Colicin_V; InterPro=IPR003825
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY3,1066996,1067551,553,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY4,1067574,1068129,554,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DBV4,1068232,1068589,355,-,rve; HTH_38; InterPro=IPR036397; IPR053392; IPR001584; IPR025246; IPR051917; IPR012337
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DBP0,1068621,1068992,369,+,HTH_38; InterPro=IPR036397; IPR053392; IPR025246; IPR001584; IPR051917; IPR012337; IPR013324
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY8,1069152,1069233,79,+,SecE; InterPro=IPR038379; IPR001901; IPR005807
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIY9,1069251,1069429,176,+,KOW; NusG; InterPro=IPR014722; IPR036735; IPR001062; IPR005824; IPR006645; IPR043425; IPR008991; IPR047050
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ0,1069476,1069618,140,+,Ribosomal_L11; Ribosomal_L11_N; InterPro=IPR036769; IPR036796; IPR000911; IPR020783; IPR020784; IPR006519
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ1,1069652,1069883,230,+,Ribosomal_L1; InterPro=IPR016095; IPR005878; IPR028364; IPR002143; IPR023674
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ2,1069974,1070153,177,+,Ribosomal_L10; InterPro=IPR043141; IPR022973; IPR001790; IPR047865
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ3,1070182,1070312,128,+,Ribosomal_L12; Ribosomal_L12_N; InterPro=IPR036235; IPR014719; IPR000206; IPR013823; IPR008932
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ4,1070478,1071729,1249,+,RNA_pol_Rpb2_6; RNA_pol_Rpb2_7; RNA_pol_Rpb2_2; RNA_pol_Rpb2_1; RNA_pol_Rpb2_3; RNA_pol_Rpb2_45; InterPro=IPR042107; IPR037033; IPR014724; IPR037034; IPR010243; IPR007120; IPR007641; IPR007642; IPR007644; IPR007645; IPR019462; IPR015712
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ5,1071735,1072901,1164,+,RNA_pol_Rpb1_2; RNA_pol_Rpb1_3; RNA_pol_Rpb1_1; RNA_pol_Rpb1_5; RNA_pol_Rpb1_4; InterPro=IPR038120; IPR042102; IPR044893; IPR012754; IPR000722; IPR007066; IPR007080; IPR007081; IPR007083; IPR045867; IPR006592
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ6,1072948,1073028,78,+,Ribosomal_L7Ae; InterPro=IPR029064; IPR004038
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ7,1073057,1073200,141,+,Ribosom_S12_S23; InterPro=IPR012340; IPR005679; IPR006032
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ8,1073260,1073416,155,+,Ribosomal_S7; InterPro=IPR036823; IPR005717; IPR023798; IPR000235
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DIZ9,1073441,1074138,696,+,GTP_EFTU; EFG_C; GTP_EFTU_D2; EFG_IV; EFG_III; InterPro=IPR014721; IPR027417; IPR004540; IPR000795; IPR000640; IPR004161; IPR005517; IPR041095; IPR009000; IPR020568; IPR035647; IPR005225; IPR047872; IPR035649; IPR009022
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DJ00,1074177,1074578,399,+,GTP_EFTU; GTP_EFTU_D3; GTP_EFTU_D2; InterPro=IPR027417; IPR004541; IPR000795; IPR004160; IPR004161; IPR050055; IPR009000; IPR009001; IPR005225; IPR041709; IPR033720
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DJ01,1074680,1074864,183,+,Sigma70_r2; Sigma70_r4_2; InterPro=IPR036388; IPR007627; IPR013249; IPR039425; IPR013324; IPR013325; IPR014284
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DJ02,1074863,1075064,199,+,zf; HC2; InterPro=IPR041916; IPR027383
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DJ03,1075101,1075226,123,+,none
Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372),A3DJ04,1075238,1075518,278,+,VanW; PG_binding_4; InterPro=IPR007391; IPR022029; IPR052913
Acidiphilium cryptum (strain JF-5),A5FXB0,379027,379203,175,-,KOW; NusG; InterPro=IPR014722; IPR036735; IPR001062; IPR005824; IPR006645; IPR043425; IPR008991; IPR047050
Acidiphilium cryptum (strain JF-5),A5FXB1,379207,379271,63,-,SecE; InterPro=IPR038379; IPR001901; IPR005807
Acidiphilium cryptum (strain JF-5),A5FXB2,379459,379549,89,+,none
Acidiphilium cryptum (strain JF-5),A5FXB3,379619,379877,256,+,none
Acidiphilium cryptum (strain JF-5),A5FXB4,380043,380251,206,-,DDE_Tnp_1_assoc; InterPro=IPR047647; IPR032806; IPR051698
Acidiphilium cryptum (strain JF-5),A5FXB5,380426,381599,1171,+,PATR; InterPro=IPR036709; IPR005546; IPR011050
Acidiphilium cryptum (strain JF-5),A5FXB6,381685,382232,546,+,Acyl-CoA_dh_1; Acyl-CoA_dh_M; AidB_N; InterPro=IPR009075; IPR006091; IPR041504; IPR052904; IPR036250; IPR009100
Acidiphilium cryptum (strain JF-5),A5FXB7,382237,382579,340,+,Aldose_epim; InterPro=IPR014718; IPR008183; IPR015443; IPR011013; IPR047215
Acidiphilium cryptum (strain JF-5),A5FXB8,382631,382975,342,+,RecA; RecA_C; InterPro=IPR027417; IPR013765; IPR049428; IPR049261; IPR020588; IPR020587; IPR003593; IPR023400
Acidiphilium cryptum (strain JF-5),A5FXB9,383091,383192,99,+,none
Acidiphilium cryptum (strain JF-5),A5FXC0,383193,383331,136,-,none
Acidiphilium cryptum (strain JF-5),A5FXC1,383438,383685,245,-,none
Acidiphilium cryptum (strain JF-5),A5FXC2,383693,384572,877,+,tRNA-synt_2c; DHHA1; tRNA_SAD; InterPro=IPR045864; IPR023033; IPR018164; IPR003156; IPR012947; IPR002318; IPR018165; IPR050058; IPR018162; IPR009000; IPR018163
Acidiphilium cryptum (strain JF-5),A5FXC3,384578,385849,1269,-,Aldedh; Pro_dh; Pro_dh-DNA_bdg; PRODH; InterPro=IPR013321; IPR024090; IPR016163; IPR016162; IPR015590; IPR002872; IPR024082; IPR041349; IPR025703; IPR050485; IPR010985; IPR029041; IPR016161; IPR024089; IPR005933
Acidiphilium cryptum (strain JF-5),A5FXC4,385894,386528,632,+,Polysacc_synt_2; InterPro=IPR003869; IPR051203; IPR036291
Acidiphilium cryptum (strain JF-5),A5FXC5,386531,386916,383,+,DegT_DnrJ_EryC1; InterPro=IPR015421; IPR015422; IPR000653; IPR015424
Acidiphilium cryptum (strain JF-5),A5FXC6,386911,387228,315,+,Abhydrolase_1; InterPro=IPR029058; IPR000073; IPR005944; IPR002410
Acidiphilium cryptum (strain JF-5),A5FXC7,387279,387607,326,+,NMT1_3; InterPro=IPR011852
Acidiphilium cryptum (strain JF-5),A5FXC8,387674,388533,857,+,MMPL; InterPro=IPR004869; IPR050545; IPR017841
Acidiphilium cryptum (strain JF-5),A5FXC9,388532,388600,67,+,RHH_4; InterPro=IPR038268; IPR027373
Acidiphilium cryptum (strain JF-5),A5FXD0,388621,389239,616,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acidiphilium cryptum (strain JF-5),A5FXD1,389317,389723,404,-,MFS_4; InterPro=IPR036259; IPR010645; IPR020846
Acidiphilium cryptum (strain JF-5),A5FXD2,389790,390027,235,-,ABC_tran; InterPro=IPR027417; IPR003439; IPR052156; IPR003593
Acidiphilium cryptum (strain JF-5),A5FXD3,390026,390280,253,-,ABC_tran; BCA_ABC_TP_C; InterPro=IPR027417; IPR003439; IPR032823; IPR051120; IPR003593
Acidiphilium cryptum (strain JF-5),A5FXD4,390279,390608,327,-,BPD_transp_2; InterPro=IPR001851; IPR043428
Acidiphilium cryptum (strain JF-5),A5FXD5,390607,390897,288,-,BPD_transp_2; InterPro=IPR001851; IPR052157
Acidiphilium cryptum (strain JF-5),A5FXD6,390937,391355,416,-,Peripla_BP_6; InterPro=IPR028081; IPR000709; IPR051010; IPR028082
Acidiphilium cryptum (strain JF-5),A5FXD7,391424,391659,233,-,Methyltransf_4; InterPro=IPR029063; IPR003358
Acidiphilium cryptum (strain JF-5),A5FXD8,391656,392051,394,-,S-AdoMet_synt_N; S-AdoMet_synt_M; S-AdoMet_synt_C; InterPro=IPR002133; IPR022628; IPR022629; IPR022630; IPR022636
Acidiphilium cryptum (strain JF-5),A5FXD9,392092,392340,246,-,DapB_N; DapB_C; InterPro=IPR023940; IPR000846; IPR022663; IPR036291
Acidiphilium cryptum (strain JF-5),A5FXE0,392360,392518,156,-,Acetyltransf_1; InterPro=IPR000182; IPR050832; IPR016181
Acidiphilium cryptum (strain JF-5),A5FXE1,392519,393063,543,-,ETF_QO; Pyr_redox_2; ETFQO_UQ-bd; InterPro=IPR036188; IPR007859; IPR023753; IPR049398; IPR017896; IPR040156
Acidiphilium cryptum (strain JF-5),A5FXE2,393091,393367,275,+,UDG; InterPro=IPR036895; IPR005122; IPR051536; IPR005273
Acidiphilium cryptum (strain JF-5),A5FXE3,393405,394013,607,+,SLT; InterPro=IPR008258; IPR008939; IPR023346
Acidiphilium cryptum (strain JF-5),A5FXE4,394034,394592,557,+,TPR_16; InterPro=IPR011990; IPR050498
Acidiphilium cryptum (strain JF-5),A5FXE5,394611,394962,350,-,GFO_IDH_MocA; GFO_IDH_MocA_C3; InterPro=IPR000683; IPR055170; IPR051317; IPR036291
Acidiphilium cryptum (strain JF-5),A5FXE6,394991,395319,327,-,Peripla_BP_4; InterPro=IPR025997; IPR028082
Acidiphilium cryptum (strain JF-5),A5FXE7,395339,395705,364,-,BPD_transp_2; InterPro=IPR001851
Acidiphilium cryptum (strain JF-5),A5FXE8,395704,396209,503,-,ABC_tran; InterPro=IPR027417; IPR003439; IPR050107; IPR003593
Acidiphilium cryptum (strain JF-5),A5FXE9,396208,396465,256,-,DUF2291; InterPro=IPR014582; IPR036215
Acidiphilium cryptum (strain JF-5),A5FXF0,396527,396779,250,+,GntR; FCD; InterPro=IPR036388; IPR008920; IPR000524; IPR011711; IPR036390
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSP8,248275,248597,320,+,ETF_alpha; ETF; InterPro=IPR014729; IPR014731; IPR014730; IPR001308; IPR029035; IPR033947
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSP9,248625,248978,351,-,Beta_elim_lyase; InterPro=IPR015421; IPR015422; IPR001597; IPR015424
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ0,249008,249242,233,-,adh_short; InterPro=IPR002347; IPR036291
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ1,249311,249730,417,+,Aminotran_5; InterPro=IPR015421; IPR015422; IPR000192; IPR016454; IPR015424
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ2,249735,250098,361,+,tRNA_Me_trans; tRNA_Me_trans_C; tRNA_Me_trans_M; InterPro=IPR023382; IPR014729; IPR004506; IPR046885; IPR046884
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ3,250157,250639,480,-,Pyr_redox_dim; Pyr_redox_2; InterPro=IPR016156; IPR036188; IPR004099; IPR023753; IPR001100; IPR021179
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ4,250699,250917,217,-,TetR_N; InterPro=IPR001647; IPR050109; IPR009057
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ5,250937,251101,162,+,Cupin_2; InterPro=IPR014710; IPR013096; IPR053146; IPR011051
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ6,251146,251491,343,+,Meth_synt_2; InterPro=IPR038071; IPR002629
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ7,251530,252226,694,+,BRCT; DNA_ligase_aden; DNA_ligase_ZBD; DNA_ligase_OB; HHH_2; Nlig-Ia; InterPro=IPR012340; IPR036420; IPR001679; IPR001357; IPR013839; IPR004149; IPR004150; IPR041663; IPR003583; IPR013840; IPR010994
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ8,252266,252742,474,+,none
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSQ9,252765,252864,97,+,GatC; InterPro=IPR003837; IPR036113
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR0,252906,253412,504,+,Amidase; InterPro=IPR036928; IPR004412; IPR023631; IPR000120
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR1,253411,253917,504,+,GatB_Yqey; GatB_N; InterPro=IPR023168; IPR004413; IPR018027; IPR006075; IPR017959; IPR014746; IPR003789
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR2,253933,254242,307,+,2-Hacid_dh; 2-Hacid_dh_C; InterPro=IPR006139; IPR006140; IPR036291
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR3,254323,254518,193,+,POR; InterPro=IPR002869; IPR019752; IPR051626; IPR011894
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR4,254513,254909,395,+,POR_N; PFOR_II; InterPro=IPR009014; IPR002880; IPR033412; IPR050722; IPR029061
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR5,254906,255234,326,+,TPP_enzyme_C; InterPro=IPR011766; IPR051479; IPR029061
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR6,255238,255782,542,+,Pyr_redox_2; Fer4_7; Fer4_20; InterPro=IPR009051; IPR036188; IPR023753; IPR017896; IPR028261
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR7,255834,256485,649,+,none
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR8,256545,257103,557,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR9,257173,257755,580,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS0,257756,257931,173,+,ALS_ss_C; AHAS-like_ACT; InterPro=IPR027271; IPR019455; IPR054480; IPR002912; IPR004789; IPR045865; IPR039557
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS1,257956,258312,354,+,IlvC; IlvN; InterPro=IPR013023; IPR000506; IPR013116; IPR014359; IPR008927; IPR036291
