Genome,ID,Start,Stop,Size (nt),Strand,Function
Acidiphilium cryptum (strain JF-5),A5FXC9,388532,388600,67,+,RHH_4; InterPro=IPR038268; IPR027373
Acidiphilium cryptum (strain JF-5),A5FXD0,388621,389239,616,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acidiphilium cryptum (strain JF-5),A5FXD1,389317,389723,404,-,MFS_4; InterPro=IPR036259; IPR010645; IPR020846
Acidiphilium cryptum (strain JF-5),A5FXD2,389790,390027,235,-,ABC_tran; InterPro=IPR027417; IPR003439; IPR052156; IPR003593
Acidiphilium cryptum (strain JF-5),A5FXD3,390026,390280,253,-,ABC_tran; BCA_ABC_TP_C; InterPro=IPR027417; IPR003439; IPR032823; IPR051120; IPR003593
Acidiphilium cryptum (strain JF-5),A5FXD4,390279,390608,327,-,BPD_transp_2; InterPro=IPR001851; IPR043428
Acidiphilium cryptum (strain JF-5),A5FXD5,390607,390897,288,-,BPD_transp_2; InterPro=IPR001851; IPR052157
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR3,254323,254518,193,+,POR; InterPro=IPR002869; IPR019752; IPR051626; IPR011894
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR4,254513,254909,395,+,POR_N; PFOR_II; InterPro=IPR009014; IPR002880; IPR033412; IPR050722; IPR029061
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR5,254906,255234,326,+,TPP_enzyme_C; InterPro=IPR011766; IPR051479; IPR029061
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR6,255238,255782,542,+,Pyr_redox_2; Fer4_7; Fer4_20; InterPro=IPR009051; IPR036188; IPR023753; IPR017896; IPR028261
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR7,255834,256485,649,+,none
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR8,256545,257103,557,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR9,257173,257755,580,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS0,257756,257931,173,+,ALS_ss_C; AHAS-like_ACT; InterPro=IPR027271; IPR019455; IPR054480; IPR002912; IPR004789; IPR045865; IPR039557
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS1,257956,258312,354,+,IlvC; IlvN; InterPro=IPR013023; IPR000506; IPR013116; IPR014359; IPR008927; IPR036291
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS2,258378,258909,529,+,2-Hacid_dh; ACT; 2-Hacid_dh_C; PGDH_inter; InterPro=IPR029009; IPR006139; IPR002912; IPR006140; IPR045626; IPR036291; IPR045865; IPR006236
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS3,258916,259265,347,+,Iso_dh; InterPro=IPR023698; IPR024084; IPR050501
Acinetobacter baumannii (strain AYE),B0VA31,8149,8381,231,-,none
Acinetobacter baumannii (strain AYE),B0VA32,8589,9082,491,+,none
Acinetobacter baumannii (strain AYE),B0VA33,9086,9134,46,+,none
Acinetobacter baumannii (strain AYE),B0VAD9,9149,9583,433,-,none
Acinetobacter baumannii (strain AYE),B0VAE0,9582,9903,319,-,Formyl_trans_N; Formyl_trans_C; InterPro=IPR037022; IPR005794; IPR002376; IPR005793; IPR011034; IPR036477; IPR041711; IPR044135
Acinetobacter baumannii (strain AYE),B0VAE1,10019,10629,608,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acinetobacter baumannii (strain AYE),B0VAE2,10734,11163,428,+,none
Acinetobacter baumannii (strain AYE),B0VAE3,11190,11433,242,+,none
Acinetobacter baumannii (strain AYE),B0VAE4,11436,11733,295,-,none
Acinetobacter baumannii (strain AYE),B0VA18,11760,12191,430,-,none
Acinetobacter baumannii (strain AYE),A0A0R4J6X5,12292,13186,893,-,none
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q5,1180533,1180965,430,+,Xan_ur_permease; InterPro=IPR006043; IPR006042
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q4,1181004,1181306,300,+,HTH_1; LysR_substrate; InterPro=IPR036388; IPR000847; IPR005119; IPR050950; IPR036390
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q3,1181305,1181558,252,-,TauE; InterPro=IPR002781; IPR052017
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q2,1181617,1182061,442,-,Pyr_redox_2; InterPro=IPR023753; IPR045024; IPR036188
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q1,1182135,1182569,432,-,none; InterPro=IPR036249
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q0,1182593,1183154,560,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P9,1183257,1183577,318,+,Formyl_trans_N; Formyl_trans_C; InterPro=IPR037022; IPR005794; IPR002376; IPR005793; IPR011034; IPR036477; IPR041711; IPR044135
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P8,1183576,1184010,433,+,NusB; Methyltr_RsmB-F; RsmF-B_ferredox; InterPro=IPR035926; IPR029063; IPR006027; IPR049560; IPR054728; IPR023267; IPR001678; IPR004573
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P7,1184021,1184295,272,-,Zip; InterPro=IPR023498; IPR003689
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P6,1184320,1184367,46,-,MaAIMP_sms; InterPro=IPR031596
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P5,1184371,1184864,491,-,SNF; InterPro=IPR000175; IPR037272
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS4,419813,420161,347,-,Aldo_ket_red; InterPro=IPR036812; IPR023210; IPR020471; IPR050523
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS3,420215,420425,208,-,cNMP_binding; HTH_Crp_2; InterPro=IPR036388; IPR014710; IPR000595; IPR012318; IPR050397; IPR036390; IPR018490
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS2,420498,420640,140,+,OsmC; InterPro=IPR015946; IPR003718; IPR036102
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS1,420675,420817,140,+,Acetyltransf_1; InterPro=IPR000182; IPR050832; IPR016181
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS0,420926,421785,858,+,AAA; Clp_N; AAA_2; ClpB_D2-small; AAA_lid_9; InterPro=IPR036628; IPR027417; IPR003959; IPR004176; IPR019489; IPR041546; IPR001270; IPR050130; IPR003593; IPR017730
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR9,421868,422478,608,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR8,422547,422694,145,+,none
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR7,422700,423435,733,-,UPF0020; THUMP; Methyltrans_SAM; RlmL_1st; InterPro=IPR029063; IPR017244; IPR000241; IPR004114; IPR019614; IPR054170
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR6,423405,423491,85,+,none
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR5,423536,423875,337,+,OTCace; OTCace_N; InterPro=IPR036901; IPR002082; IPR006131; IPR006132; IPR006130
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR4,423879,424291,410,+,Amidohydro_1; InterPro=IPR011059; IPR006680; IPR050138; IPR032466; IPR004722
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT1,32910,32989,78,+,TusA; InterPro=IPR036868; IPR022931; IPR001455
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT2,33006,33153,145,-,RraB; InterPro=IPR036701; IPR016716; IPR009671
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT3,33153,33334,179,-,MMR_HSR1; InterPro=IPR027417; IPR019987; IPR006073; IPR030393
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT4,33454,33592,137,-,DUF805; InterPro=IPR008523
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT5,33605,33882,275,-,Zip; InterPro=IPR003689
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT6,33932,34544,610,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT7,34583,34656,71,-,ACT_5; InterPro=IPR002912; IPR045865
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT8,34662,35212,549,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT9,35355,35848,492,+,Cytochrom_C552; InterPro=IPR017570; IPR003321; IPR036280
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZU0,35855,36071,214,+,Cytochrom_c_NrfB; like; InterPro=IPR053875; IPR036280; IPR017564
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZU1,36071,36297,224,+,Fer4_11; InterPro=IPR017896; IPR050954; IPR017567
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE1,154763,155453,688,+,tRNA_synt_2f; DALR_1; InterPro=IPR015944; IPR008909; IPR006194
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE2,155475,155602,125,-,CRCB; InterPro=IPR003691
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE3,155602,155875,271,-,Hydrolase_3; InterPro=IPR023214; IPR036412; IPR000150; IPR006379
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE4,155929,156482,551,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE5,156487,156564,76,+,ACT_5; InterPro=IPR045865
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE6,156611,157226,613,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE7,157250,157526,275,+,Zip; InterPro=IPR003689
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE8,157562,158075,511,+,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE9,158105,158378,272,-,GCV_T; YgfZ_barrel; InterPro=IPR006222; IPR048451; IPR045179; IPR029043
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLF0,158379,158667,286,-,YicC-like_N; YicC-like_C; InterPro=IPR013527; IPR013551; IPR005229
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLF1,158722,158961,237,+,RNase_PH; RNase_PH_C; InterPro=IPR027408; IPR002381; IPR001247; IPR015847; IPR050080; IPR020568; IPR036345
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQR9,1548606,1548681,74,-,Ribosomal_L31; InterPro=IPR042105; IPR027491; IPR002150; IPR034704
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS0,1548727,1549462,734,+,DEAD; Helicase_C; PriA_3primeBD; PriA_C; PriA_CRR; PriA-like_WH; InterPro=IPR042115; IPR027417; IPR005259; IPR011545; IPR001650; IPR041222; IPR041236; IPR040498; IPR048949; IPR014001; IPR050880
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS1,1549489,1549856,365,-,none
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS2,1549915,1550283,367,-,OmpA; OmpA_membrane; InterPro=IPR036737; IPR006665; IPR000498; IPR006664; IPR002368; IPR050330; IPR011250
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS3,1550366,1550873,505,-,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS4,1550874,1551530,654,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS5,1551536,1551851,313,-,Aminotran_4; InterPro=IPR043132; IPR043131; IPR001544; IPR050571; IPR036038; IPR005785; IPR033939
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS6,1551938,1552486,547,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS7,1552515,1552548,31,-,none
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS8,1552614,1553119,503,+,Mg_chelatase; Mg_chelatase_C; ChlI; InterPro=IPR014721; IPR027417; IPR000523; IPR025158; IPR001208; IPR045006; IPR003593; IPR020568; IPR004482
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS9,1553159,1553464,303,+,Acyltransferase; InterPro=IPR002123
Aeromonas salmonicida (strain A449),A4SHE4,41773,42072,298,-,Acyltransferase; InterPro=IPR002123
Aeromonas salmonicida (strain A449),A4SHE5,42118,42623,503,-,Mg_chelatase; Mg_chelatase_C; ChlI; InterPro=IPR014721; IPR027417; IPR000523; IPR025158; IPR001208; IPR045006; IPR003593; IPR020568; IPR004482
Aeromonas salmonicida (strain A449),A4SHE6,42751,43300,547,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Aeromonas salmonicida (strain A449),A4SHE7,43299,43395,95,+,ACT_5; InterPro=IPR045865
Aeromonas salmonicida (strain A449),A4SHE8,43400,43713,312,+,Aminotran_4; InterPro=IPR043132; IPR043131; IPR001544; IPR050571; IPR036038; IPR005785; IPR033939
Aeromonas salmonicida (strain A449),A4SHE9,43763,44377,612,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aeromonas salmonicida (strain A449),A4SHF0,44403,44910,505,+,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Aeromonas salmonicida (strain A449),A4SHF1,45015,45384,367,+,OmpA; OmpA_membrane; InterPro=IPR036737; IPR006665; IPR000498; IPR006664; IPR002368; IPR050330; IPR011250
Aeromonas salmonicida (strain A449),A4SHF2,45403,45553,149,-,HPP; InterPro=IPR007065
Aeromonas salmonicida (strain A449),A4SHF3,45579,45764,183,+,TetR_N; InterPro=IPR001647; IPR050109; IPR009057; IPR036271
Aeromonas salmonicida (strain A449),A4SHF4,45789,46153,362,+,none
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW1,586739,587712,971,-,Peptidase_M16; Peptidase_M16_C; M16C_assoc; PreP_C; InterPro=IPR011765; IPR007863; IPR013578; IPR055130; IPR011249
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW2,587752,588056,302,-,MS_channel_2nd; MS_channel_1st_1; MS_channel_3rd; InterPro=IPR023408; IPR006685; IPR049278; IPR045275; IPR010920; IPR011066; IPR011014
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW3,588102,588490,386,-,2-Hacid_dh; 2-Hacid_dh_C; InterPro=IPR006139; IPR006140; IPR002912; IPR036291; IPR045865
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW4,588490,588859,367,-,Aminotran_5; InterPro=IPR015421; IPR015422; IPR022278; IPR000192; IPR015424
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW5,588851,589414,561,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW6,589443,590002,558,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW7,590041,590407,365,-,Iso_dh; InterPro=IPR004429; IPR024084
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW8,590478,590582,102,-,YajC; InterPro=IPR003849
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW9,590622,591003,379,-,TGT; InterPro=IPR036511; IPR004803; IPR002616; IPR050076
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAX0,591012,591103,90,-,none
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAX1,591186,591554,366,+,Chorismate_synt; InterPro=IPR035904; IPR000453
Agrobacterium fabrum (strain C58 / ATCC 33970),A9CIG4,630122,630227,103,+,DUF1883; InterPro=IPR036488; IPR015073
Agrobacterium fabrum (strain C58 / ATCC 33970),A9CIG3,630262,630701,437,-,AAA; MgsA_C; AAA_assoc_2; InterPro=IPR027417; IPR003959; IPR021886; IPR032423; IPR051314; IPR003593; IPR008921
Agrobacterium fabrum (strain C58 / ATCC 33970),Q7CY88,630700,631169,467,-,PDZ_2; Trypsin_2; PDZ_6; InterPro=IPR036034; IPR001478; IPR041489; IPR001940; IPR009003; IPR011782
Agrobacterium fabrum (strain C58 / ATCC 33970),Q7CY87,631226,631343,115,+,none; InterPro=IPR017160; IPR052755
Agrobacterium fabrum (strain C58 / ATCC 33970),A9CIG2,631348,631795,445,-,Beta; lactamase; InterPro=IPR012338; IPR001466; IPR050789
Agrobacterium fabrum (strain C58 / ATCC 33970),Q8UE43,631826,632437,610,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Agrobacterium fabrum (strain C58 / ATCC 33970),P58770,632540,632854,312,+,Oxidored_molyb; InterPro=IPR036374; IPR022867; IPR000572
Agrobacterium fabrum (strain C58 / ATCC 33970),P58769,632855,633071,214,+,Ferric_reduct; InterPro=IPR022837; IPR013130
Agrobacterium fabrum (strain C58 / ATCC 33970),Q7CY85,633217,633508,289,+,DUF817; InterPro=IPR008535
Agrobacterium fabrum (strain C58 / ATCC 33970),Q8UE41,633560,633702,140,-,Ribosomal_L17; InterPro=IPR036373; IPR000456
Agrobacterium fabrum (strain C58 / ATCC 33970),P0A4E3,633741,634078,335,-,RNA_pol_A_bac; RNA_pol_L; RNA_pol_A_CTD; InterPro=IPR036643; IPR036603; IPR011773; IPR011262; IPR011263; IPR011260
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR47,440449,440877,426,+,Peptidase_M24; AMP_N; InterPro=IPR029149; IPR036005; IPR000994; IPR007865; IPR052433
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR48,440899,441190,290,+,HisG; HisG_C; InterPro=IPR015867; IPR020621; IPR013820; IPR013115; IPR001348; IPR011322
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR49,441205,441239,33,+,none
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR50,441434,441843,408,-,HisKA; HATPase_c; InterPro=IPR036890; IPR003661; IPR003594; IPR004358; IPR005467; IPR050351; IPR036097
