Genome,ID,Start,Stop,Size (nt),Strand,Function
Acidiphilium cryptum (strain JF-5),A5FXC8,387674,388533,857,+,MMPL; InterPro=IPR004869; IPR050545; IPR017841
Acidiphilium cryptum (strain JF-5),A5FXC9,388532,388600,67,+,RHH_4; InterPro=IPR038268; IPR027373
Acidiphilium cryptum (strain JF-5),A5FXD0,388621,389239,616,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acidiphilium cryptum (strain JF-5),A5FXD1,389317,389723,404,-,MFS_4; InterPro=IPR036259; IPR010645; IPR020846
Acidiphilium cryptum (strain JF-5),A5FXD2,389790,390027,235,-,ABC_tran; InterPro=IPR027417; IPR003439; IPR052156; IPR003593
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR6,255238,255782,542,+,Pyr_redox_2; Fer4_7; Fer4_20; InterPro=IPR009051; IPR036188; IPR023753; IPR017896; IPR028261
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR7,255834,256485,649,+,none
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR8,256545,257103,557,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSR9,257173,257755,580,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Acidothermus cellulolyticus (strain ATCC 43068 / DSM 8971 / 11B),A0LSS0,257756,257931,173,+,ALS_ss_C; AHAS-like_ACT; InterPro=IPR027271; IPR019455; IPR054480; IPR002912; IPR004789; IPR045865; IPR039557
Acinetobacter baumannii (strain AYE),B0VAD9,9149,9583,433,-,none
Acinetobacter baumannii (strain AYE),B0VAE0,9582,9903,319,-,Formyl_trans_N; Formyl_trans_C; InterPro=IPR037022; IPR005794; IPR002376; IPR005793; IPR011034; IPR036477; IPR041711; IPR044135
Acinetobacter baumannii (strain AYE),B0VAE1,10019,10629,608,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acinetobacter baumannii (strain AYE),B0VAE2,10734,11163,428,+,none
Acinetobacter baumannii (strain AYE),B0VAE3,11190,11433,242,+,none
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q2,1181617,1182061,442,-,Pyr_redox_2; InterPro=IPR023753; IPR045024; IPR036188
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q1,1182135,1182569,432,-,none; InterPro=IPR036249
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6Q0,1182593,1183154,560,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P9,1183257,1183577,318,+,Formyl_trans_N; Formyl_trans_C; InterPro=IPR037022; IPR005794; IPR002376; IPR005793; IPR011034; IPR036477; IPR041711; IPR044135
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6F6P8,1183576,1184010,433,+,NusB; Methyltr_RsmB-F; RsmF-B_ferredox; InterPro=IPR035926; IPR029063; IPR006027; IPR049560; IPR054728; IPR023267; IPR001678; IPR004573
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS1,420675,420817,140,+,Acetyltransf_1; InterPro=IPR000182; IPR050832; IPR016181
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCS0,420926,421785,858,+,AAA; Clp_N; AAA_2; ClpB_D2-small; AAA_lid_9; InterPro=IPR036628; IPR027417; IPR003959; IPR004176; IPR019489; IPR041546; IPR001270; IPR050130; IPR003593; IPR017730
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR9,421868,422478,608,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR8,422547,422694,145,+,none
Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1),Q6FCR7,422700,423435,733,-,UPF0020; THUMP; Methyltrans_SAM; RlmL_1st; InterPro=IPR029063; IPR017244; IPR000241; IPR004114; IPR019614; IPR054170
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT4,33454,33592,137,-,DUF805; InterPro=IPR008523
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT5,33605,33882,275,-,Zip; InterPro=IPR003689
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT6,33932,34544,610,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT7,34583,34656,71,-,ACT_5; InterPro=IPR002912; IPR045865
Actinobacillus pleuropneumoniae serotype 7 (strain AP76),B3GZT8,34662,35212,549,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE4,155929,156482,551,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE5,156487,156564,76,+,ACT_5; InterPro=IPR045865
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE6,156611,157226,613,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE7,157250,157526,275,+,Zip; InterPro=IPR003689
Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 /130Z),A6VLE8,157562,158075,511,+,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS2,1549915,1550283,367,-,OmpA; OmpA_membrane; InterPro=IPR036737; IPR006665; IPR000498; IPR006664; IPR002368; IPR050330; IPR011250
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS3,1550366,1550873,505,-,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS4,1550874,1551530,654,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS5,1551536,1551851,313,-,Aminotran_4; InterPro=IPR043132; IPR043131; IPR001544; IPR050571; IPR036038; IPR005785; IPR033939
Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049),A0KQS6,1551938,1552486,547,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Aeromonas salmonicida (strain A449),A4SHE7,43299,43395,95,+,ACT_5; InterPro=IPR045865
Aeromonas salmonicida (strain A449),A4SHE8,43400,43713,312,+,Aminotran_4; InterPro=IPR043132; IPR043131; IPR001544; IPR050571; IPR036038; IPR005785; IPR033939
Aeromonas salmonicida (strain A449),A4SHE9,43763,44377,612,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aeromonas salmonicida (strain A449),A4SHF0,44403,44910,505,+,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Aeromonas salmonicida (strain A449),A4SHF1,45015,45384,367,+,OmpA; OmpA_membrane; InterPro=IPR036737; IPR006665; IPR000498; IPR006664; IPR002368; IPR050330; IPR011250
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW4,588490,588859,367,-,Aminotran_5; InterPro=IPR015421; IPR015422; IPR022278; IPR000192; IPR015424
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW5,588851,589414,561,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW6,589443,590002,558,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW7,590041,590407,365,-,Iso_dh; InterPro=IPR004429; IPR024084
Agathobacter rectalis (strain ATCC 33656 / DSM 3377 / JCM 17463 / KCTC 5835/ VPI 0990),C4ZAW8,590478,590582,102,-,YajC; InterPro=IPR003849
Agrobacterium fabrum (strain C58 / ATCC 33970),Q7CY87,631226,631343,115,+,none; InterPro=IPR017160; IPR052755
Agrobacterium fabrum (strain C58 / ATCC 33970),A9CIG2,631348,631795,445,-,Beta; lactamase; InterPro=IPR012338; IPR001466; IPR050789
Agrobacterium fabrum (strain C58 / ATCC 33970),Q8UE43,631826,632437,610,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Agrobacterium fabrum (strain C58 / ATCC 33970),P58770,632540,632854,312,+,Oxidored_molyb; InterPro=IPR036374; IPR022867; IPR000572
Agrobacterium fabrum (strain C58 / ATCC 33970),P58769,632855,633071,214,+,Ferric_reduct; InterPro=IPR022837; IPR013130
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR50,441434,441843,408,-,HisKA; HATPase_c; InterPro=IPR036890; IPR003661; IPR003594; IPR004358; IPR005467; IPR050351; IPR036097
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR51,441848,442082,233,-,Response_reg; Trans_reg_C; InterPro=IPR036388; IPR001789; IPR001867; IPR039420; IPR016032; IPR011006
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR52,442155,442713,557,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR53,442812,442855,41,+,none
Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC81048 / CCUG 64013 / CIP 107961 / Muc),B2UR54,442881,442938,55,-,none
Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),Q21X58,686401,687271,869,+,AAA; Clp_N; AAA_2; ClpB_D2-small; AAA_lid_9; InterPro=IPR036628; IPR027417; IPR003959; IPR004176; IPR019489; IPR041546; IPR001270; IPR050130; IPR003593; IPR017730
Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),Q21X57,687295,687479,182,-,HHH_3; InterPro=IPR051675
Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),Q21X56,687501,688066,563,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),Q21X55,688101,688424,321,+,HTH_1; LysR_substrate; InterPro=IPR036388; IPR000847; IPR005119; IPR036390
Albidiferax ferrireducens (strain ATCC BAA-621 / DSM 15236 / T118),Q21X54,688439,688715,274,+,LGT; InterPro=IPR001640
Aliarcobacter butzleri (strain RM4018),A8EWJ2,699809,700030,219,-,Response_reg; Trans_reg_C; InterPro=IPR036388; IPR001789; IPR001867; IPR039420; IPR016032; IPR011006
Aliarcobacter butzleri (strain RM4018),A8EWJ3,700039,700515,474,-,PDZ_2; Trypsin_2; PDZ_6; InterPro=IPR036034; IPR001478; IPR041489; IPR001940; IPR051201; IPR009003; IPR011782
Aliarcobacter butzleri (strain RM4018),A8EWJ4,700553,701116,561,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aliarcobacter butzleri (strain RM4018),A8EWJ5,701363,701773,409,+,Phage_integrase; Arm-DNA-bind_3; Phage_int_M; InterPro=IPR010998; IPR013762; IPR038488; IPR002104; IPR025166; IPR053876; IPR044068; IPR050808; IPR011010
Aliarcobacter butzleri (strain RM4018),A8EWJ6,701916,702040,122,-,none
Aliivibrio fischeri (strain MJ11),B5FCY4,962255,962337,80,+,ACT_5; InterPro=IPR045865
Aliivibrio fischeri (strain MJ11),B5FCY5,962341,962656,314,+,Aminotran_4; InterPro=IPR043132; IPR043131; IPR001544; IPR050571; IPR036038; IPR005785; IPR033939
Aliivibrio fischeri (strain MJ11),B5FCY6,962662,963276,612,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aliivibrio fischeri (strain MJ11),B5FCY7,963278,963788,509,+,PALP; Thr_dehydrat_C; InterPro=IPR038110; IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR005787
Aliivibrio fischeri (strain MJ11),B5FCY8,963881,963950,68,+,CSD; InterPro=IPR012340; IPR002059; IPR012156; IPR050181; IPR011129
Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),B9JWU1,661434,661651,216,-,Ferric_reduct; InterPro=IPR022837; IPR013130
Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),B9JWU2,661650,661966,314,-,Oxidored_molyb; InterPro=IPR036374; IPR022867; IPR000572
Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),B9JWU3,662052,662664,610,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),B9JWU4,662903,663238,333,-,DUF4105; InterPro=IPR025178
Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4),B9JWU5,663295,663505,209,-,LysE; InterPro=IPR001123
Anaeromyxobacter dehalogenans (strain 2CP-C),Q2IH19,1574537,1574664,126,-,Multi_Drug_Res; InterPro=IPR045324; IPR000390
Anaeromyxobacter dehalogenans (strain 2CP-C),Q2IH18,1574682,1574789,105,-,Multi_Drug_Res; InterPro=IPR045324; IPR000390
Anaeromyxobacter dehalogenans (strain 2CP-C),Q2IH17,1574852,1575413,559,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Anaeromyxobacter dehalogenans (strain 2CP-C),Q2IH16,1575454,1575674,218,+,NUDIX; InterPro=IPR000086; IPR045121; IPR015797
Anaeromyxobacter dehalogenans (strain 2CP-C),Q2IH15,1575695,1576232,535,+,none; InterPro=IPR024079
Anaeromyxobacter sp. (strain K),B4UI27,1590302,1590409,105,-,Multi_Drug_Res; InterPro=IPR045324; IPR000390
Anaeromyxobacter sp. (strain K),B4UI28,1590580,1590952,371,+,HNH; InterPro=IPR002711; IPR003615
Anaeromyxobacter sp. (strain K),B4UI29,1590937,1591498,559,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Anaeromyxobacter sp. (strain K),B4UI30,1591539,1591759,218,+,NUDIX; InterPro=IPR000086; IPR045121; IPR015797
Anaeromyxobacter sp. (strain K),B4UI31,1591781,1592317,534,+,none; InterPro=IPR024079
Aquifex aeolicus (strain VF5),O67007,191960,192435,473,+,Pyr_redox_2; InterPro=IPR036188; IPR023753; IPR050260
Aquifex aeolicus (strain VF5),O67008,192421,192653,231,-,none
Aquifex aeolicus (strain VF5),O67009,192680,193236,554,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aquifex aeolicus (strain VF5),O67010,193235,193627,391,-,TRM; InterPro=IPR042296; IPR029063; IPR022923; IPR002905
Aquifex aeolicus (strain VF5),O67011,193634,193767,132,+,TsaE; InterPro=IPR027417; IPR003442
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5NY73,1337233,1337701,467,+,Aminotran_1_2; GntR; InterPro=IPR036388; IPR015421; IPR004839; IPR000524; IPR051446; IPR036390; IPR015424
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5NY72,1337746,1337961,213,-,Rhomboid; InterPro=IPR035952; IPR022764
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5NY71,1338026,1338594,566,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5NWC2,1338709,1339072,361,+,rve; InterPro=IPR036397; IPR001584; IPR017894; IPR012337
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5NW60,1339071,1339330,258,+,IstB_IS21; InterPro=IPR027417; IPR047661; IPR002611; IPR028350; IPR003593
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P6F3,353128,353397,267,-,TauE; InterPro=IPR002781
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P6F2,353502,353602,99,-,ZapA; InterPro=IPR042233; IPR007838; IPR036192
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P6F1,353699,354316,615,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P6F0,354366,354594,227,+,DUF480; InterPro=IPR036388; IPR007432; IPR036390
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P6E9,354609,354874,263,+,LGT; InterPro=IPR001640
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P8J6,90906,91050,143,-,Y1_Tnp; InterPro=IPR036515; IPR002686
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P8J5,91081,91303,220,-,none; InterPro=IPR036396
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P8J4,91319,91887,566,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P8J3,91952,92167,213,+,Rhomboid; InterPro=IPR035952; IPR022764
Aromatoleum aromaticum (strain DSM 19018 / LMG 30748 / EbN1),Q5P8J0,92909,93039,128,+,CMD; InterPro=IPR029032; IPR003779; IPR004675
Arthrobacter sp. (strain FB24),A0JXZ7,948611,948782,169,-,ALS_ss_C; AHAS-like_ACT; InterPro=IPR027271; IPR019455; IPR054480; IPR002912; IPR004789; IPR045865; IPR039557
Arthrobacter sp. (strain FB24),A0JXZ8,948783,949417,632,-,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Arthrobacter sp. (strain FB24),A0JXZ9,949544,950118,572,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR050165; IPR037237
Arthrobacter sp. (strain FB24),A0JY00,950165,950472,306,-,HTH_1; LysR_substrate; InterPro=IPR036388; IPR000847; IPR005119; IPR001845; IPR036390; IPR011991
Arthrobacter sp. (strain FB24),A0JY01,950722,951087,364,+,none
Azoarcus sp. (strain BH72),A1K342,219439,219587,146,-,FecR; InterPro=IPR006860
Azoarcus sp. (strain BH72),A1K343,219623,220623,998,+,GAF; HD_5; InterPro=IPR029016; IPR003018; IPR037522; IPR003607; IPR029151
Azoarcus sp. (strain BH72),A1K344,220646,221262,615,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Azoarcus sp. (strain BH72),A1K345,221291,221356,63,+,none
Azoarcus sp. (strain BH72),A1K346,221359,221457,97,+,ZapA; InterPro=IPR042233; IPR007838; IPR036192
Azobacteroides pseudotrichonymphae genomovar. CFP2,B6YQU9,141255,141395,139,+,SufE; InterPro=IPR003808
Azobacteroides pseudotrichonymphae genomovar. CFP2,B6YQV0,141397,141577,179,+,SpoU_methylase; InterPro=IPR029026; IPR001537; IPR004441; IPR029028
Azobacteroides pseudotrichonymphae genomovar. CFP2,B6YQV1,141817,142427,608,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Azobacteroides pseudotrichonymphae genomovar. CFP2,B6YQV2,142586,142950,362,-,MeaB; InterPro=IPR027417; IPR005129
Azobacteroides pseudotrichonymphae genomovar. CFP2,B6YQV3,143034,144542,1507,+,GATase_2; GXGXG; Glu_synthase; Glu_syn_central; InterPro=IPR036485; IPR013785; IPR029055; IPR017932; IPR002489; IPR002932; IPR006982; IPR050711
Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG6465 / NBRC 14845 / NCIMB 13405 / ORS 571),A8IES2,1350612,1351126,512,-,dCache_1; InterPro=IPR033479; IPR029151
Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG6465 / NBRC 14845 / NCIMB 13405 / ORS 571),A8IES4,1351155,1351396,239,+,CVNH; InterPro=IPR036673; IPR011058
Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG6465 / NBRC 14845 / NCIMB 13405 / ORS 571),A8IES7,1351424,1352042,616,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG6465 / NBRC 14845 / NCIMB 13405 / ORS 571),A8IET0,1352112,1352176,63,+,CsbD; InterPro=IPR036629; IPR008462
Azorhizobium caulinodans (strain ATCC 43989 / DSM 5975 / JCM 20966 / LMG6465 / NBRC 14845 / NCIMB 13405 / ORS 571),A8IET2,1352283,1352475,191,+,HTH_3; Cupin_2; InterPro=IPR010982; IPR014710; IPR001387; IPR013096; IPR050807; IPR011051
Azospirillum brasilense,Q4WCX9,259044,259304,258,-,BIM1; like_dom; InterPro=IPR046530; IPR046936
Azospirillum brasilense,Q09898,261771,262272,499,-,Pkinase; Pkinase_C; InterPro=IPR000719; IPR017892; IPR000961; IPR050236; IPR011009
Azospirillum brasilense,Q1JUQ1,265481,265787,304,-,ILVD_EDD; InterPro=IPR042096; IPR000581; IPR052352; IPR037237
Azospirillum brasilense,P28584,270215,270434,218,-,TrkH; InterPro=IPR003445; IPR015958; IPR051143; IPR004773
Azospirillum brasilense,C8V9Y5,270631,270736,104,-,ICL; InterPro=IPR040442; IPR006254; IPR015813; IPR039556
Azotobacter vinelandii (strain DJ / ATCC BAA-1303),C1DI92,102358,102451,91,+,none
Azotobacter vinelandii (strain DJ / ATCC BAA-1303),C1DI93,102514,102665,150,-,Metallophos_2; InterPro=IPR029052; IPR024654; IPR000979
Azotobacter vinelandii (strain DJ / ATCC BAA-1303),C1DI94,102755,103367,611,-,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Azotobacter vinelandii (strain DJ / ATCC BAA-1303),C1DI95,103437,103845,406,-,HipA_C; InterPro=IPR012893; IPR052028
Azotobacter vinelandii (strain DJ / ATCC BAA-1303),C1DI96,103845,103945,99,-,HTH_3; InterPro=IPR010982; IPR001387
Bacillus anthracis,A0AAC8SGH6,577333,577903,569,+,TPP_enzyme_M; TPP_enzyme_C; TPP_enzyme_N; InterPro=IPR012000; IPR011766; IPR012001; IPR045229; IPR029035; IPR029061; IPR012846; IPR039368
Bacillus anthracis,Q81S27,577978,578314,334,+,IlvC; IlvN; InterPro=IPR013023; IPR000506; IPR013116; IPR014359; IPR008927; IPR036291
Bacillus anthracis,Q81S26,578329,578887,556,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Bacillus anthracis,A0AAC8NAN3,578898,579318,419,+,PALP; Thr_dehydrat_C; InterPro=IPR036052; IPR001926; IPR001721; IPR050147; IPR045865; IPR011820
Bacillus anthracis,A0A0F7RJE1,579439,579806,366,-,PGA_cap; InterPro=IPR029052; IPR019079; IPR052169
Bacillus anthracis (strain A0248),C3P6N8,564166,564494,326,+,AsnA; InterPro=IPR045864; IPR004618; IPR006195
Bacillus anthracis (strain A0248),C3P6S2,578337,578895,556,+,ILVD_EDD; InterPro=IPR042096; IPR004404; IPR000581; IPR037237
Bacillus anthracis (strain A0248),C3P768,582793,583229,434,+,Amidohydro_1; InterPro=IPR011059; IPR023512; IPR006680; IPR050287; IPR032466
Bacillus anthracis (strain A0248),C3P778,588002,588322,318,+,Rhodanese; Rhodanese_C; UPF0176_N; InterPro=IPR036873; IPR020936; IPR001763; IPR022111; IPR040503
